Unnamed: 0,ID,Case Number,Date,place,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3230980,9762793,HX412882,09/01/2014 02:30:00 PM,034XX N LAKE SHORE DR,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,1925,19.0,44.0,6.0,26,1172682.0,1922847.0,2014,02/04/2016 06:33:39 AM,41.943731737,-87.640703062,"(41.943731737, -87.640703062)"
797128,10419477,HZ157317,02/19/2016 01:00:00 AM,007XX N RUSH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,1833,18.0,42.0,8.0,14,1176964.0,1905536.0,2016,05/21/2016 03:53:29 PM,41.896133693,-87.625489799,"(41.896133693, -87.625489799)"
291552,10511186,HZ252364,05/05/2016 01:00:00 PM,007XX W ADDISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,SPORTS ARENA/STADIUM,False,False,1925,19.0,46.0,6.0,14,1170704.0,1924137.0,2016,05/12/2016 03:50:15 PM,41.947315174,-87.64793529,"(41.947315174, -87.64793529)"
2625763,8766414,HV441267,08/22/2012 03:00:00 AM,013XX N ASTOR ST,141B,WEAPONS VIOLATION,UNLAWFUL USE OTHER FIREARM,RESIDENCE,False,False,1824,18.0,43.0,8.0,15,1176362.0,1909541.0,2012,02/04/2016 06:33:39 AM,41.907137208,-87.627579786,"(41.907137208, -87.627579786)"
2533188,8624019,HV297607,05/21/2012 08:45:00 AM,086XX S PULASKI RD,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,834,8.0,18.0,70.0,14,1151246.0,1847018.0,2012,02/04/2016 06:33:39 AM,41.736095551,-87.721477425,"(41.736095551, -87.721477425)"
2951379,9288705,HW433571,09/01/2013 07:51:00 PM,085XX S ESCANABA AVE,4510,OTHER OFFENSE,PROBATION VIOLATION,STREET,True,False,423,4.0,10.0,46.0,26,1196966.0,1848937.0,2013,02/04/2016 06:33:39 AM,41.740347415,-87.553913774,"(41.740347415, -87.553913774)"
859311,9954731,HY143189,02/06/2015 11:00:00 PM,045XX N MONTICELLO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1723,17.0,33.0,14.0,14,1151236.0,1930002.0,2015,08/17/2015 03:03:40 PM,41.963814044,-87.719340284,"(41.963814044, -87.719340284)"
3469957,10260623,HY448076,10/02/2015 09:00:00 PM,038XX S SACRAMENTO AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,911,9.0,14.0,58.0,06,1157005.0,1878849.0,2015,10/09/2015 03:58:54 PM,41.823330172,-87.699518716,"(41.823330172, -87.699518716)"
2675687,8845959,HV519136,10/15/2012 11:13:00 AM,131XX S FORRESTVILLE AVE,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),VEHICLE NON-COMMERCIAL,True,False,533,5.0,9.0,54.0,18,1182312.0,1818347.0,2012,02/04/2016 06:33:39 AM,41.656756064,-87.608546838,"(41.656756064, -87.608546838)"
2877927,9172839,HW317093,06/12/2013 02:25:00 PM,074XX S MORGAN ST,1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,"SCHOOL, PUBLIC, BUILDING",False,True,733,7.0,17.0,68.0,20,1170932.0,1855496.0,2013,02/04/2016 06:33:39 AM,41.758953628,-87.649107679,"(41.758953628, -87.649107679)"
3333381,10022436,HY212109,03/31/2015 01:00:00 PM,072XX S WASHTENAW AVE,0560,ASSAULT,SIMPLE,STREET,False,False,831,8.0,18.0,66.0,08A,1159627.0,1856533.0,2015,08/17/2015 03:03:40 PM,41.762038585,-87.690511697,"(41.762038585, -87.690511697)"
3409614,10154704,HY343297,07/16/2015 04:00:00 PM,028XX E 88TH ST,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,423,4.0,10.0,46.0,04A,1196650.0,1847172.0,2015,08/17/2015 03:03:40 PM,41.735511961,-87.555130012,"(41.735511961, -87.555130012)"
3115932,9570494,HX221059,04/08/2014 03:30:00 PM,019XX N LEAMINGTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,False,2533,25.0,37.0,19.0,14,1141853.0,1912424.0,2014,02/04/2016 06:33:39 AM,41.915757633,-87.754275574,"(41.915757633, -87.754275574)"
6221883,10799201,HZ569699,12/30/2016 04:52:00 AM,088XX S COTTAGE GROVE AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,False,False,632,6.0,8.0,44.0,03,1183114.0,1846334.0,2016,01/06/2017 03:55:08 PM,41.733537555,-87.604745981,"(41.733537555, -87.604745981)"
3140088,9611841,HX261659,05/14/2014 04:53:00 PM,086XX S HALSTED ST,0460,BATTERY,SIMPLE,GAS STATION,False,False,622,6.0,21.0,71.0,08B,1172478.0,1847811.0,2014,02/04/2016 06:33:39 AM,41.737831108,-87.643667436,"(41.737831108, -87.643667436)"
865064,9965210,HY154659,02/17/2015 08:15:00 AM,018XX N WASHTENAW AVE,0460,BATTERY,SIMPLE,OTHER,False,False,1421,14.0,1.0,22.0,08B,1158081.0,1912060.0,2015,08/17/2015 03:03:40 PM,41.914442648,-87.694664764,"(41.914442648, -87.694664764)"
2903971,9212532,HW358724,07/11/2013 07:00:00 PM,108XX S TORRENCE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,434,4.0,10.0,51.0,06,1195566.0,1833734.0,2013,02/04/2016 06:33:39 AM,41.698663667,-87.559543749,"(41.698663667, -87.559543749)"
